iter	Passed	Remaining
1011	7920	3819
1012	7930	3812
1013	7938	3804
1014	7947	3797
1015	7956	3790
1016	7965	3783
1017	7973	3775
1018	7982	3768
1019	7990	3760
1020	7999	3752
1021	8007	3745
1022	8016	3737
1023	8025	3730
1024	8035	3723
1025	8044	3716
1026	8052	3708
1027	8062	3701
1028	8070	3694
1029	8079	3686
1030	8087	3678
1031	8096	3671
1032	8104	3664
1033	8113	3656
1034	8121	3648
1035	8130	3641
1036	8138	3633
1037	8147	3626
1038	8155	3618
1039	8163	3610
1040	8172	3603
1041	8180	3595
1042	8188	3587
1043	8196	3580
1044	8204	3572
1045	8212	3564
1046	8220	3556
1047	8229	3549
1048	8237	3541
1049	8245	3533
1050	8253	3525
1051	8261	3518
1052	8269	3510
1053	8278	3502
1054	8286	3495
1055	8294	3487
1056	8302	3479
1057	8310	3471
1058	8318	3464
1059	8326	3456
1060	8334	3448
1061	8342	3440
1062	8351	3433
1063	8359	3425
1064	8367	3417
1065	8375	3409
1066	8383	3402
1067	8391	3394
1068	8399	3386
1069	8407	3378
1070	8415	3370
1071	8423	3363
1072	8431	3355
1073	8439	3347
1074	8447	3339
1075	8455	3331
1076	8463	3324
1077	8471	3316
1078	8479	3308
1079	8487	3300
1080	8495	3292
1081	8503	3284
1082	8511	3277
1083	8519	3269
1084	8527	3261
1085	8535	3253
1086	8543	3246
1087	8551	3238
1088	8559	3230
1089	8567	3222
1090	8575	3214
1091	8583	3207
1092	8591	3199
1093	8599	3191
1094	8607	3183
1095	8615	3175
1096	8623	3168
1097	8631	3160
1098	8640	3152
1099	8648	3144
1100	8656	3137
1101	8664	3129
1102	8672	3121
1103	8680	3113
1104	8689	3106
1105	8697	3098
1106	8705	3090
1107	8713	3082
1108	8721	3075
1109	8730	3067
1110	8738	3059
1111	8746	3051
1112	8754	3044
1113	8762	3036
1114	8770	3028
1115	8779	3020
1116	8787	3013
1117	8795	3005
1118	8803	2997
1119	8811	2989
1120	8820	2982
1121	8828	2974
1122	8836	2966
1123	8844	2958
1124	8852	2950
1125	8860	2943
1126	8868	2935
1127	8876	2927
1128	8885	2919
1129	8893	2911
1130	8900	2903
1131	8908	2896
1132	8916	2888
1133	8924	2880
1134	8933	2872
1135	8941	2865
1136	8950	2857
1137	8958	2849
1138	8967	2842
1139	8974	2834
1140	8982	2826
1141	8990	2818
1142	8998	2810
1143	9006	2802
1144	9015	2795
1145	9023	2787
1146	9031	2779
1147	9039	2771
1148	9047	2763
1149	9055	2755
1150	9063	2748
1151	9071	2740
1152	9079	2732
1153	9088	2724
1154	9096	2717
1155	9104	2709
1156	9112	2701
1157	9120	2693
1158	9128	2685
1159	9136	2677
1160	9144	2670
1161	9152	2662
1162	9160	2654
1163	9169	2646
1164	9177	2638
1165	9185	2631
1166	9193	2623
1167	9201	2615
1168	9209	2607
1169	9217	2599
1170	9225	2591
1171	9233	2584
1172	9241	2576
1173	9249	2568
1174	9258	2560
1175	9266	2552
1176	9274	2545
1177	9282	2537
1178	9290	2529
1179	9298	2521
1180	9307	2513
1181	9315	2506
1182	9323	2498
1183	9331	2490
1184	9339	2482
1185	9347	2474
1186	9355	2467
1187	9363	2459
1188	9372	2451
1189	9380	2443
1190	9388	2435
1191	9396	2427
1192	9404	2420
1193	9412	2412
1194	9420	2404
1195	9428	2396
1196	9436	2388
1197	9445	2381
1198	9453	2373
1199	9461	2365
1200	9469	2357
1201	9477	2349
1202	9485	2341
1203	9493	2333
1204	9501	2326
1205	9509	2318
1206	9517	2310
1207	9525	2302
1208	9533	2294
1209	9541	2286
1210	9549	2279
1211	9558	2271
1212	9566	2263
1213	9574	2255
1214	9582	2247
1215	9590	2239
1216	9598	2232
1217	9606	2224
1218	9615	2216
1219	9623	2208
1220	9630	2200
1221	9638	2192
1222	9646	2184
1223	9654	2177
1224	9662	2169
1225	9670	2161
1226	9678	2153
1227	9686	2145
1228	9694	2137
1229	9702	2129
1230	9710	2122
1231	9719	2114
1232	9727	2106
1233	9735	2098
1234	9743	2090
1235	9751	2082
1236	9760	2075
1237	9768	2067
1238	9776	2059
1239	9784	2051
1240	9792	2043
1241	9800	2035
1242	9808	2027
1243	9816	2020
1244	9824	2012
1245	9832	2004
1246	9840	1996
1247	9848	1988
1248	9857	1980
1249	9865	1973
1250	9873	1965
1251	9881	1957
1252	9889	1949
1253	9897	1941
1254	9905	1933
1255	9912	1925
1256	9921	1917
1257	9929	1910
1258	9937	1902
1259	9945	1894
1260	9953	1886
1261	9961	1878
1262	9969	1870
1263	9978	1862
1264	9986	1855
1265	9994	1847
1266	10002	1839
1267	10010	1831
1268	10018	1823
1269	10026	1815
1270	10035	1808
1271	10043	1800
1272	10051	1792
1273	10059	1784
1274	10067	1776
1275	10075	1768
1276	10083	1760
1277	10091	1753
1278	10100	1745
1279	10108	1737
1280	10116	1729
1281	10124	1721
1282	10132	1713
1283	10141	1705
1284	10149	1698
1285	10157	1690
1286	10165	1682
1287	10173	1674
1288	10181	1666
1289	10189	1658
1290	10197	1650
1291	10205	1643
1292	10213	1635
1293	10221	1627
1294	10230	1619
1295	10238	1611
1296	10246	1603
1297	10254	1595
1298	10262	1587
1299	10270	1580
1300	10278	1572
1301	10287	1564
1302	10295	1556
1303	10303	1548
1304	10311	1540
1305	10319	1532
1306	10327	1525
1307	10335	1517
1308	10344	1509
1309	10351	1501
1310	10360	1493
1311	10368	1485
1312	10376	1477
1313	10384	1469
1314	10393	1462
1315	10401	1454
1316	10409	1446
1317	10417	1438
1318	10426	1430
1319	10434	1422
1320	10442	1415
1321	10450	1407
1322	10459	1399
1323	10467	1391
1324	10475	1383
1325	10483	1375
1326	10491	1367
1327	10499	1359
1328	10507	1351
1329	10515	1344
1330	10523	1336
1331	10531	1328
1332	10540	1320
1333	10548	1312
1334	10556	1304
1335	10565	1296
1336	10573	1289
1337	10581	1281
1338	10589	1273
1339	10597	1265
1340	10606	1257
1341	10614	1249
1342	10622	1241
1343	10630	1233
1344	10639	1226
1345	10647	1218
1346	10655	1210
1347	10663	1202
1348	10671	1194
1349	10680	1186
1350	10687	1178
1351	10696	1170
1352	10704	1162
1353	10712	1155
1354	10720	1147
1355	10728	1139
1356	10736	1131
1357	10745	1123
1358	10753	1115
1359	10761	1107
1360	10769	1099
1361	10777	1092
1362	10785	1084
1363	10793	1076
1364	10802	1068
1365	10810	1060
1366	10818	1052
1367	10827	1044
1368	10835	1036
1369	10843	1028
1370	10851	1021
1371	10859	1013
1372	10867	1005
1373	10875	997
1374	10883	989
1375	10891	981
1376	10899	973
1377	10908	965
1378	10916	957
1379	10924	949
1380	10932	942
1381	10941	934
1382	10949	926
1383	10957	918
1384	10965	910
1385	10974	902
1386	10982	894
1387	10990	886
1388	10998	878
1389	11006	871
1390	11015	863
1391	11023	855
1392	11031	847
1393	11039	839
1394	11047	831
1395	11055	823
1396	11064	815
1397	11072	807
1398	11080	799
1399	11089	792
1400	11097	784
1401	11105	776
1402	11113	768
1403	11122	760
1404	11130	752
1405	11138	744
1406	11146	736
1407	11154	728
1408	11162	720
1409	11170	713
1410	11178	705
1411	11187	697
1412	11195	689
1413	11203	681
1414	11212	673
1415	11220	665
1416	11228	657
1417	11236	649
1418	11244	641
1419	11252	633
1420	11260	626
1421	11269	618
1422	11277	610
1423	11285	602
1424	11293	594
1425	11301	586
1426	11309	578
1427	11317	570
1428	11325	562
1429	11333	554
1430	11341	546
1431	11349	538
1432	11357	531
1433	11366	523
1434	11374	515
1435	11382	507
1436	11390	499
1437	11398	491
